transaction_id,transaction_date,city,neighborhood,property_type,rooms,surface_sqm,floor,total_floors,year_built,is_furnished,amenities_count,amenities_list,lat,lng,sale_price_eur,price_per_sqm_eur,data_source,is_verified
48ecdf5dtx465b,2021-01-01,Straseni,Centru,APARTMENT,3,85.8,4.0,10.0,,False,4,elevator|balcony|interphone|gas,47.0155,28.8302,76094.0,886.88,partner,True
4913ed04txac99,2021-01-01,Straseni,Centru,STUDIO,0,32.3,5.0,9.0,1973.0,False,2,interphone|gas,47.0187,28.8416,23514.0,727.99,internal,True
c6652be0tx779c,2021-01-01,Chisinau,Codru,APARTMENT,3,71.9,3.0,10.0,,True,2,parking|elevator,46.9914,28.7738,36693.0,510.33,cadastru,False
cae2cf01tx26da,2021-01-01,Chisinau,Ciocana,APARTMENT,2,70.6,6.0,9.0,,False,4,parking|elevator|balcony|interphone,47.0061,28.8899,38843.0,550.18,internal,True
2d0f2711txc721,2021-01-02,Chisinau,Sculeni,APARTMENT,4,25.9,7.0,9.0,1980.0,True,5,balcony|storage|interphone|gas|internet,47.078,28.8065,14229.0,549.38,internal,True
005014f2tx03cc,2021-01-02,Chisinau,Telecentru,APARTMENT,3,66.8,6.0,12.0,1988.0,False,5,parking|elevator|balcony|interphone|gas,46.9859,28.8741,36752.0,550.18,cadastru,True
68370197txb272,2021-01-03,Balti,Centru,HOUSE,6,91.7,1.0,2.0,1989.0,False,3,balcony|security|gas,47.0206,28.8307,67896.0,740.41,partner,True
a8d688a0tx7fc0,2021-01-05,Chisinau,Codru,APARTMENT,1,60.5,11.0,12.0,1993.0,True,4,elevator|balcony|garage|gas,46.9974,28.7688,32358.0,534.84,internal,True
c120f5e0tx008f,2021-01-06,Chisinau,Rascani,APARTMENT,1,44.4,4.0,5.0,2006.0,False,5,parking|balcony|storage|gas|internet,47.0537,28.8228,32486.0,731.67,internal,False
779fdd17tx11ca,2021-01-07,Orhei,Centru,HOUSE,1,90.1,0.0,1.0,1969.0,True,3,elevator|security|gas,47.0188,28.8404,61462.0,682.15,internal,False
b6b27fa3txa8c6,2021-01-08,Balti,Slobozia,APARTMENT,3,36.5,0.0,12.0,1979.0,False,4,balcony|garage|gas|internet,47.7539,,10957.0,300.19,partner,False
d04871e5tx1f5a,2021-01-08,Chisinau,Durlesti,HOUSE,6,135.1,1.0,1.0,1992.0,True,5,parking|balcony|security|interphone|internet,47.0728,28.7677,74619.0,552.32,cadastru,True
2cb74ef8tx7277,2021-01-08,Chisinau,Codru,APARTMENT,1,60.2,4.0,9.0,1978.0,True,4,elevator|balcony|interphone|internet,46.9986,28.7789,35934.0,596.91,internal,True
6977f532txe30c,2021-01-09,Chisinau,Botanica,APARTMENT,3,79.8,0.0,9.0,1977.0,True,5,parking|elevator|balcony|storage|gas,46.9912,28.8553,44388.0,556.24,internal,False
d858f956txa6e2,2021-01-09,Chisinau,Rascani,APARTMENT,1,85.8,3.0,9.0,2000.0,False,3,elevator|gas|internet,47.0499,28.8204,44871.0,522.97,internal,True
5b84ff92tx1e77,2021-01-11,Chisinau,Ciocana,APARTMENT,2,20.0,2.0,12.0,2020.0,True,4,parking|balcony|gas|internet,47.0019,28.8941,15488.0,774.4,internal,True
